wateryear,region,surfdiv,pumping,et,gwstor,model
2000,3,492.7661779,16.4257255,1206.197796,-67.48496706,cvhm
2001,3,588.4309107,0.925005616,1233.446858,-209.793663,cvhm
2002,3,617.3176104,39.2375647,1186.309959,-50.30534508,cvhm
2003,3,505.6646037,5.305855165,1262.997912,43.03469299,cvhm
1975,4,70.76610367,2.001145927,610.0152009,-1.176189828,cvhm
1976,4,79.74316809,2.06026688,618.8688284,-309.1531927,cvhm
1977,4,91.39182861,8.616311846,618.2827753,-244.1471195,cvhm
1978,4,70.10465945,6.08058111,626.0686926,314.7490332,cvhm
1979,4,78.5754948,8.236657454,624.6810703,-28.32693311,cvhm
1980,4,74.55806685,0.032354543,612.9879308,155.0112627,cvhm
1981,4,75.53266385,4.22320094,636.8564516,-111.1525454,cvhm
1982,4,60.97636439,0.09798361,610.2226968,255.3591147,cvhm
1983,4,60.03786353,0,602.1706154,383.3671202,cvhm
1984,4,66.46789069,2.165863151,637.3027793,-88.85624308,cvhm
1985,4,74.93261804,1.60499538,627.4322895,-191.4834989,cvhm
1986,4,70.84034725,0.060527111,624.7518792,134.8914506,cvhm
1987,4,84.4281092,1.354734284,644.2450129,-214.0907643,cvhm
1988,4,81.12742464,6.837198331,640.6318416,-69.28859524,cvhm
1989,4,70.35193084,1.21904585,624.3801782,-62.82684905,cvhm
1990,4,84.69115711,6.290347917,625.3360181,-83.19891055,cvhm
1991,4,81.89887814,2.036054483,613.0385662,7.719650015,cvhm
1992,4,84.8739388,6.690480111,639.1268716,-53.40492596,cvhm
1993,4,67.6314463,1.20571825,603.1859801,260.5968265,cvhm
1994,4,81.95590688,3.625335716,622.4784941,-190.5559228,cvhm
1995,4,58.68513304,0.958443733,586.5513115,519.527282,cvhm
1996,4,64.80955685,3.03519546,634.8412504,-107.6366249,cvhm
1997,4,73.04663448,2.985265928,628.9005267,-86.53246314,cvhm
1998,4,50.28565077,0,582.3459736,578.8005233,cvhm
1999,4,50.79897107,0.054639115,595.6113107,-258.9764629,cvhm
2000,4,47.49348019,0.043418273,640.6686012,-56.73006982,cvhm
2001,4,57.05781659,0.005334873,647.0749066,-134.4950172,cvhm
2002,4,60.84894478,1.82774726,636.4046564,-25.00745273,cvhm
2003,4,47.28770614,0.159028032,638.1514677,91.95633956,cvhm
1975,5,319.1445634,0,963.1610151,-74.4992298,cvhm
1976,5,476.6322407,0,1086.251834,-536.7498783,cvhm
1977,5,633.3499943,4.695944565,1160.201828,-479.9525978,cvhm
1978,5,416.2110566,5.788185155,1095.781163,437.8425482,cvhm
1979,5,431.7071629,0,1099.800847,-33.77503324,cvhm
1980,5,394.9548509,0,1055.786295,192.3447041,cvhm
1981,5,439.3101431,0,1110.44311,-159.0882858,cvhm
1982,5,276.5034832,0,1033.54228,459.3780778,cvhm
1983,5,214.8099394,0,944.2505685,645.6226374,cvhm
1984,5,246.154529,0,946.6440767,-39.31106651,cvhm
1985,5,328.9631063,0,1017.052518,-430.0254296,cvhm
1986,5,287.754549,0,1009.272769,147.6232222,cvhm
1987,5,397.9125306,0,1029.946136,-368.3708808,cvhm
1988,5,431.9035044,8.884724989,1086.425225,-215.1169993,cvhm
1989,5,417.8729124,0,1116.052044,-91.24328121,cvhm
1990,5,501.78272,0,1161.582095,-244.5158177,cvhm
1991,5,532.5380752,0,1137.501659,-78.72662338,cvhm
1992,5,544.2137652,7.755216849,1204.919193,-61.33802683,cvhm
1993,5,358.7318259,2.645035524,1112.114898,399.2719537,cvhm
1994,5,518.6707735,6.25803659,1165.916843,-308.6161336,cvhm
1995,5,279.2300151,0.802345252,1009.635448,701.8292854,cvhm
1996,5,293.7696991,0,1065.777043,-49.44166058,cvhm
1997,5,354.3335032,2.586229853,1059.979425,-127.4904965,cvhm
1998,5,204.5518991,0,963.7637936,677.4031,cvhm
1999,5,299.2905912,0,935.0524729,-290.4724633,cvhm
2000,5,301.0187164,0,1034.091642,-118.4905166,cvhm
2001,5,398.1067983,0,1092.914945,-283.7835807,cvhm
2002,5,423.8636548,0.541468139,1075.950225,-63.92629509,cvhm
2003,5,340.0938379,0,1075.573776,62.28455527,cvhm
1975,6,316.8373059,504.2643578,1299.991039,-30.44131239,cvhm
1976,6,358.141121,646.9500924,1312.460933,-578.9783302,cvhm
1977,6,199.6586392,881.2465545,1339.180039,-680.1010426,cvhm
1978,6,346.1759357,419.95006,1340.161258,535.7306775,cvhm
1979,6,376.8529901,468.5929241,1264.992378,6.630839616,cvhm
1980,6,352.8868039,329.9607614,1284.730652,443.863257,cvhm
1981,6,409.7703324,439.4072056,1246.471102,-208.7402778,cvhm
1982,6,322.0873139,227.0000324,1322.829497,667.5876503,cvhm
1983,6,261.663844,237.5393196,1245.142564,876.821908,cvhm
1984,6,410.5836603,262.6714661,1186.063099,-3.029897403,cvhm
1985,6,367.4008688,269.1571813,1221.754192,-248.3585642,cvhm
1986,6,356.623296,222.9464604,1225.121063,401.0754103,cvhm
